Hora,Azimut,Elevación,Velocidad Azimut,Velocidad Elevación,Delta Tiempo,tiempo_jd
19:40:57,37.67727042125957,34.17272186279297,0.0017092523190758119,0.0025322698045205498,14.400002360343933,2459575.5284466664
19:41:12,37.652657183830456,34.20917129516601,0.0017130498927350464,0.0025312101665634175,14.400002360343933,2459575.528613333
19:41:26,37.627989261331685,34.24559783935547,0.0017225758395740828,0.002529620709630926,14.400002360343933,2459575.52878
19:41:40,37.603184165175946,34.28212356567383,0.0017149191227419057,0.0025365083563421713,14.400002360343933,2459575.5289466665
19:41:55,37.578489325760664,34.31838607788087,0.001730207783349681,0.0025182296016076663,14.400002360343933,2459575.529113333
19:42:9,37.55357432959654,34.3548698425293,0.0017225087235518593,0.0025335943519636346,14.400002360343933,2459575.52928
19:42:24,37.52877019991168,34.39109420776367,0.0017320768300646701,0.0025155805067180424,14.400002360343933,2459575.5294466666
19:42:38,37.503828289470455,34.42742156982422,0.0017358948166442559,0.0025227330629186942,14.400002360343933,2459575.5296133333
19:42:52,37.47883140001347,34.46371841430663,0.0017397170066582833,0.0025206137870068964,14.400002360343933,2459575.52978
19:43:7,37.45377947101126,34.50000381469727,0.0017436565123029955,0.002384691808508499,15.215970575809479,2459575.5299466667
19:43:22,37.42724804482574,34.53832244873047,0.0017417854788726295,0.0026521755766794803,14.448000490665436,2459575.5301227774
19:43:37,37.40208272737235,34.57455825805663,0.0017572836379185803,0.0025247908755743264,14.35200423002243,2459575.5302899997
19:43:51,37.376862185167596,34.61077880859375,0.001749408479042696,0.002515315597229623,14.400002360343933,2459575.530456111
19:44:5,37.351670698940175,34.646854400634766,0.0017649611095829577,0.0025052490366504346,14.400002360343933,2459575.5306227775
19:44:20,37.326255254796266,34.68315124511718,0.001762963087578109,0.0025122399812946734,14.448000490665436,2459575.530789444
19:44:34,37.30078396324191,34.71943283081055,0.0017609258417674936,0.0025195541490522313,14.400002360343933,2459575.5309566665
19:44:49,37.27542662696407,34.75544738769532,0.0017825146146153035,0.0025093747401101793,14.35200423002243,2459575.531123333
19:45:3,37.249843969675034,34.791683197021484,0.0017627410210462595,0.002508015510490604,14.448000490665436,2459575.5312894443
19:45:17,37.22437588653804,34.82765197753907,0.0017783895918499536,0.0024978315709613635,14.400002360343933,2459575.5314566665
19:45:32,37.19876707221779,34.86372756958008,0.0017941858592518953,0.0025136274671340546,14.35200423002243,2459575.531623333
19:45:46,37.17301690917636,34.899898529052734,0.00178021048413003,0.0025035270102617717,14.448000490665436,2459575.5317894444
19:46:1,37.14729642722816,34.93592834472655,0.0017840485759792258,0.0025020701227824915,14.400002360343933,2459575.5319566666
19:46:15,37.121606123523094,34.97181320190429,0.0017998759383847632,0.002492003562205277,14.400002360343933,2459575.5321233333
19:46:29,37.09568790576203,35.00792312622071,0.0017917898221164008,0.002507633222051639,14.400002360343933,2459575.53229
19:46:44,37.06988612809431,35.043766021728516,0.0018076960878277613,0.002497420946400043,14.351963996887207,2459575.5324566667
19:46:58,37.04394213892449,35.079715728759766,0.001805566239399798,0.0024882133035970195,14.448000490665436,2459575.5326227774
19:47:13,37.017855317011715,35.11575317382813,0.0018094646000688132,0.002510969512744504,14.35200423002243,2459575.5327899996
19:47:27,36.99188587341745,35.15153503417969,0.0018073364680366664,0.002476596008885336,14.448000490665436,2459575.532956111
19:47:41,36.96577347524046,35.1874122619629,0.0018233450818230853,0.002499806104304232,14.35200423002243,2459575.533123333
19:47:56,36.939604818913345,35.223270416259766,0.001821185069976379,0.002481876597390423,14.448000490665436,2459575.533289444
19:48:10,36.913292336128734,35.259231567382805,0.0018251068837244757,0.002497301751982551,14.400002360343933,2459575.5334566664
19:48:25,36.88701079269522,35.2950439453125,0.001835138179213977,0.0024952875818403126,14.35200423002243,2459575.533623333
19:48:39,36.86067288178447,35.3308334350586,0.001826834034907171,0.002485380824982452,14.400002360343933,2459575.5337894442
19:48:53,36.83436646736985,35.36648941040039,0.001836871594243321,0.002467883037851942,14.448000490665436,2459575.533956111
19:49:8,36.80782734567493,35.4023551940918,0.0018408103671050252,0.0024906790147602186,14.400002360343933,2459575.534123333
19:49:22,36.78131967204367,35.43808364868165,0.0018447402597303662,0.0024894400821811225,14.35200423002243,2459575.53429
19:49:37,36.75484395203273,35.47366714477539,0.00184867437680212,0.0024710757125801616,14.400002360343933,2459575.534456111
19:49:51,36.72822303664327,35.50934982299805,0.001858801050129683,0.0024779633592923937,14.400002360343933,2459575.5346227777
19:50:5,36.701456297133994,35.545127868652344,0.0018503866830515976,0.002484586096515219,14.400002360343933,2459575.5347894444
19:50:20,36.6748107245305,35.58064651489258,0.001860528421023292,0.0024583779785432775,14.448000490665436,2459575.534956111
19:50:34,36.64792980899066,35.61637878417969,0.0018707281627120917,0.0024897058776196814,14.35200423002243,2459575.5351233333
19:50:49,36.621081110486195,35.651973724365234,0.0018622472704711056,0.0024636585670483645,14.448000490665436,2459575.5352894445
19:51:3,36.59417536100869,35.68754196166992,0.0018724258578420568,0.0024700229757883435,14.39996212720871,2459575.5354566667
19:51:17,36.567212499569756,35.72309112548829,0.001876390970268811,0.002468691527180931,14.400002360343933,2459575.535623333
19:51:32,36.54019246516896,35.758613586425774,0.0018803655511246986,0.00246683716075706,14.400002360343933,2459575.5357899996
19:51:46,36.51311519679445,35.79412078857422,0.0018843443655746019,0.002465777522802888,14.400002360343933,2459575.5359566663
19:52:1,36.48598063348248,35.8296012878418,0.0018883274182533306,0.0024639231563800034,14.400002360343933,2459575.536123333
19:52:15,36.45878871420253,35.86505889892578,0.0018923147058233086,0.0024623336994465256,14.400002360343933,2459575.5362899997
19:52:29,36.43153937797216,35.90049362182617,0.0018963009241781284,0.0024607442425130474,14.400002360343933,2459575.5364566664
19:52:44,36.40423264018807,35.93590545654297,0.0019003019772037594,0.002459154785579569,14.400002360343933,2459575.536623333
19:52:58,36.37686828723097,35.97129058837891,0.0019043019676415224,0.0024573004191576716,14.400002360343933,2459575.53679
19:53:13,36.349446334402124,36.00666427612305,0.0019019387667892462,0.0024565056906899457,14.400002360343933,2459575.5369566665
19:53:27,36.32205841167113,36.041885375976555,0.0019186966934442763,0.002454089288785938,14.35200423002243,2459575.537123333
19:53:41,36.29452126861069,36.07720565795898,0.0019099477251319982,0.002444648448430051,14.448000490665436,2459575.5372894444
